dept_no,emp_no,from_date,to_date
d001,110022,01/01/85,10/01/91
d001,110039,10/01/91,01/01/99
d002,110085,01/01/85,12/17/89
d002,110114,12/17/89,01/01/99
d003,110183,01/01/85,03/21/92
d003,110228,03/21/92,01/01/99
d004,110303,01/01/85,09/09/88
d004,110344,09/09/88,08/02/92
d004,110386,08/02/92,08/30/96
d004,110420,08/30/96,01/01/99
d005,110511,01/01/85,04/25/92
d005,110567,04/25/92,01/01/99
d006,110725,01/01/85,05/06/89
d006,110765,05/06/89,09/12/91
d006,110800,09/12/91,06/28/94
d006,110854,06/28/94,01/01/99
d007,111035,01/01/85,03/07/91
d007,111133,03/07/91,01/01/99
d008,111400,01/01/85,04/08/91
d008,111534,04/08/91,01/01/99
d009,111692,01/01/85,10/17/88
d009,111784,10/17/88,09/08/92
d009,111877,09/08/92,01/03/96
d009,111939,01/03/96,01/01/99
